n,time
0,0.002966
1000,0.012933
2000,0.041766
3000,0.106451
4000,0.221500
5000,0.400173
6000,0.657392
7000,1.007457
8000,1.465190
9000,2.043681
10000,2.760287
11000,3.625898
12000,4.655269
13000,5.861860
14000,7.261512
15000,8.868709
16000,10.699439
17000,12.764309
18000,15.077991
19000,17.656128
20000,20.514896
21000,23.667589
22000,27.125666
23000,30.904518
24000,35.018803
25000,39.481991
26000,44.309925
27000,49.518612
28000,55.118996
29000,61.126648
30000,67.556595
