n,time
0,4e-06
1000,0.053191
2000,0.209313
3000,0.478746
4000,0.842931
5000,1.33494
6000,1.89284
7000,2.63093
8000,3.53271
9000,4.66241
10000,5.89331
11000,7.45567
12000,9.11566
13000,10.9711
14000,13.0229
15000,15.7921
16000,18.2527
17000,23.0979
18000,24.4787
19000,28.1171
20000,31.6123
21000,34.8488
22000,38.3848
23000,42.3752
24000,46.1078
25000,51.3558
26000,55.0336
27000,59.7357
28000,67.9549
29000,70.9711
30000,78.3587
