n,time
0,1e-06
1000,0.044953
2000,0.179228
3000,0.401804
4000,0.713337
5000,1.11329
6000,1.60386
7000,2.17943
8000,2.84267
9000,3.60215
10000,4.45853
11000,5.37417
12000,6.40243
13000,7.51813
14000,8.7203
15000,9.99566
16000,11.3852
17000,13.1168
18000,14.6743
19000,16.4848
20000,18.4999
21000,19.9537
22000,25.1182
23000,24.1582
24000,28.6663
25000,31.7015
26000,34.0041
27000,36.6479
28000,38.8014
29000,42.4424
